,p_country,who_country
0,Afghanistan,Afghanistan
1,Albania,Albania
2,Algeria,Algeria
3,,Andorra
4,Angola,Angola
5,Antigua and Barbuda,Antigua and Barbuda
6,Argentina,Argentina
7,Armenia,Armenia
8,Australia,Australia
9,Austria,Austria
10,Azerbaijan,Azerbaijan
11,The Bahamas,Bahamas (the)
12,Bahrain,Bahrain
13,Bangladesh,Bangladesh
14,Barbados,Barbados
15,Belarus,Belarus
16,Belgium,Belgium
17,Belize,Belize
18,Benin,Benin
19,Bhutan,Bhutan
20,Bolivia,Bolivia (Plurinational State of)
21,Bosnia and Herzegovina,Bosnia and Herzegovina
22,Botswana,Botswana
23,Brazil,Brazil
24,Brunei Darussalam,Brunei Darussalam
25,Bulgaria,Bulgaria
26,Burkina Faso,Burkina Faso
27,Burundi,Burundi
28,Cabo Verde,Cabo Verde
29,Cambodia,Cambodia
30,Cameroon,Cameroon
31,Canada,Canada
32,Central African Republic,Central African Republic (the)
33,Chad,Chad
34,Chile,Chile
35,China,China
36,Colombia,Colombia
37,Comoros,Comoros (the)
38,Congo,Congo (the)
39,,Cook Islands
40,Costa Rica,Costa Rica
41,Croatia,Croatia
42,Cuba,Cuba
43,Cyprus,Cyprus
44,Czech Republic,Czech Republic (the)
45,Cote-d-Ivoire,Côte d'Ivoire
46,Dem Peoples Rep of Korea,Democratic People's Republic of Korea (the)
47,Dem Rep of Congo,Democratic Republic of the Congo (the)
48,Denmark,Denmark
49,Djibouti,Djibouti
50,,Dominica
51,Dominican Republic,Dominican Republic (the)
52,Ecuador,Ecuador
53,Arab Rep of Egypt,Egypt
54,El Salvador,El Salvador
55,Equatorial Guinea,Equatorial Guinea
56,Eritrea,Eritrea
57,Estonia,Estonia
58,Ethiopia,Ethiopia
59,Fiji,Fiji
60,Finland,Finland
61,France,France
62,Gabon,Gabon
63,The Gambia,Gambia (the)
64,Georgia,Georgia
65,Germany,Germany
66,Ghana,Ghana
67,Greece,Greece
68,Grenada,Grenada
69,Guatemala,Guatemala
70,Guinea,Guinea
71,Guinea-Bissau,Guinea-Bissau
72,Guyana,Guyana
73,Haiti,Haiti
74,Honduras,Honduras
75,Hungary,Hungary
76,Iceland,Iceland
77,India,India
78,Indonesia,Indonesia
79,Islamic Republic of Iran,Iran (Islamic Republic of)
80,Iraq,Iraq
81,Ireland,Ireland
82,Israel,Israel
83,Italy,Italy
84,Jamaica,Jamaica
85,Japan,Japan
86,Jordan,Jordan
87,Kazakhstan,Kazakhstan
88,Kenya,Kenya
89,Kiribati,Kiribati
90,Kuwait,Kuwait
91,,Kyrgyzstan
92,Lao PDR,Lao People's Democratic Republic (the)
93,Latvia,Latvia
94,Lebanon,Lebanon
95,Lesotho,Lesotho
96,Liberia,Liberia
97,Libya,Libya
98,Lithuania,Lithuania
99,Luxembourg,Luxembourg
100,Madagascar,Madagascar
101,Malawi,Malawi
102,Malaysia,Malaysia
103,Maldives,Maldives
104,Mali,Mali
105,Malta,Malta
106,,Marshall Islands (the)
107,Mauritania,Mauritania
108,Mauritius,Mauritius
109,Mexico,Mexico
110,Federated States of Micronesia,Micronesia (Federated States of)
111,,Monaco
112,Mongolia,Mongolia
113,Montenegro,Montenegro
114,Morocco,Morocco
115,Mozambique,Mozambique
116,Myanmar,Myanmar
117,Namibia,Namibia
118,,Nauru
119,Nepal,Nepal
120,The Netherlands,Netherlands (the)
121,New Zealand,New Zealand
122,Nicaragua,Nicaragua
123,Niger,Niger (the)
124,Nigeria,Nigeria
125,,Niue
126,Norway,Norway
127,Oman,Oman
128,Pakistan,Pakistan
129,,Palau
130,Panama,Panama
131,Papua New Guinea,Papua New Guinea
132,Paraguay,Paraguay
133,Peru,Peru
134,Philippines,Philippines (the)
135,Poland,Poland
136,Portugal,Portugal
137,Qatar,Qatar
138,Rep of Korea,Republic of Korea (the)
139,Moldova,Republic of Moldova (the)
140,Romania,Romania
141,Russian Federation,Russian Federation (the)
142,Rwanda,Rwanda
143,,Saint Kitts and Nevis
144,St-Lucia,Saint Lucia
145,St-Vincent and the Grenadines,Saint Vincent and the Grenadines
146,Samoa,Samoa
147,,San Marino
148,Sao Tome and Principe,Sao Tome and Principe
149,Saudi Arabia,Saudi Arabia
150,Senegal,Senegal
151,Serbia,Serbia
152,Seychelles,Seychelles
153,Sierra Leone,Sierra Leone
154,Singapore,Singapore
155,Slovak Republic,Slovakia
156,Slovenia,Slovenia
157,Solomon Islands,Solomon Islands
158,Somalia,Somalia
159,South Africa,South Africa
160,South Sudan,South Sudan
161,Spain,Spain
162,Sri Lanka,Sri Lanka
163,Sudan,Sudan (the)
164,Suriname,Suriname
165,Swaziland,Swaziland
166,Sweden,Sweden
167,Switzerland,Switzerland
168,Syrian Arab Rep,Syrian Arab Republic (the)
169,Tajikistan,Tajikistan
170,Thailand,Thailand
171,FYR Macedonia,The former Yugoslav Republic of Macedonia
172,Timor-Leste,Timor-Leste
173,Togo,Togo
174,Tonga,Tonga
175,Trinidad and Tobago,Trinidad and Tobago
176,Tunisia,Tunisia
177,Turkey,Turkey
178,Turkmenistan,Turkmenistan
179,,Tuvalu
180,Uganda,Uganda
181,Ukraine,Ukraine
182,United Arab Emirates,United Arab Emirates (the)
183,United Kingdom,United Kingdom of Great Britain and Northern Ireland (the)
184,Tanzania,United Republic of Tanzania
185,United States,United States of America (the)
186,Uruguay,Uruguay
187,Uzbekistan,Uzbekistan
188,Vanuatu,Vanuatu
189,RB-de-Venezuela,Venezuela (Bolivarian Republic of)
190,Vietnam,Viet Nam
191,Rep of Yemen,Yemen
192,Zambia,Zambia
193,Zimbabwe,Zimbabwe
